shot_id,timestamp,magnitude1,magnitude2,magnitude3,magnitude4,magnitude5,magnitude6,magnitude7,magnitude8
22,1756299799.6363127,9.7993,10.2478,6.5786,11.0552,5.1763,20.0343,13.5129,12.7028
22,1756299801.5700955,6.5786,11.0552,5.1763,20.0343,13.5129,12.7028,3.9717,3.2659
22,1756299808.8886325,2.4684,1.5406,7.4455,13.2374,0.5219,5.5661,6.2013,2.8489
23,1756299814.9886715,4.1599,6.7494,5.7945,10.0692,3.2315,1.0049,0.7378,6.0133
24,1756299816.622316,6.0133,3.4483,11.3895,15.3107,5.6947,14.9761,2.4427,12.9616
24,1756299817.1329024,11.3895,15.3107,5.6947,14.9761,2.4427,12.9616,7.0870,3.2864
24,1756299817.9488285,5.6947,14.9761,2.4427,12.9616,7.0870,3.2864,16.1068,12.7866
24,1756299818.6592655,12.9616,7.0870,3.2864,16.1068,12.7866,4.0890,9.4062,9.7124
24,1756299820.2850828,4.0890,9.4062,9.7124,15.6690,6.0743,10.8301,12.8447,2.3542
25,1756299821.105184,15.6690,6.0743,10.8301,12.8447,2.3542,6.8270,15.9978,6.4616
25,1756299821.9212408,12.8447,2.3542,6.8270,15.9978,6.4616,12.0654,2.0259,13.2103
25,1756299823.2417386,6.8270,15.9978,6.4616,12.0654,2.0259,13.2103,6.7288,13.4965
25,1756299824.9676926,6.4616,12.0654,2.0259,13.2103,6.7288,13.4965,1.5031,1.0040
25,1756299825.6818595,2.0259,13.2103,6.7288,13.4965,1.5031,1.0040,10.0395,1.5427
26,1756299826.9055202,13.4965,1.5031,1.0040,10.0395,1.5427,1.6672,7.2745,2.4480
26,1756299833.8164585,2.4225,9.7377,11.8422,13.3117,3.7839,6.6891,16.1674,10.7075
27,1756299833.8254566,13.3117,3.7839,6.6891,16.1674,10.7075,5.9950,8.5546,15.4541
27,1756299834.8406773,10.7075,5.9950,8.5546,15.4541,9.9151,5.7096,4.8013,3.2722
27,1756299859.9201787,2.3342,0.8801,2.4619,12.0049,1.1833,1.4722,2.3419,1.0985
28,1756300226.1711407,0.0000,0.0000,0.0000,15.8728,1.6544,0.2722,0.0812,0.3406
29,1756300262.129977,8.9060,3.3597,2.9302,10.9112,1.3562,1.4109,1.2337,1.3611
30,1756300270.0599983,5.2457,2.8327,12.4519,21.2125,5.5284,0.3259,0.6067,0.7842
31,1756300288.4183137,0.3713,2.8900,4.5750,27.7104,4.6047,1.7019,4.2545,8.3239
32,1756300304.1598063,4.3608,3.7451,2.5145,28.3765,2.6022,13.3402,9.5649,5.1663
33,1756300304.6783652,2.5145,28.3765,2.6022,13.3402,9.5649,5.1663,0.9041,1.1900
33,1756300325.5779119,4.4405,1.7411,14.5761,16.9626,8.8616,2.6528,0.6522,0.7243
34,1756300333.107386,5.3418,4.4324,2.5672,23.1658,6.0615,7.4774,7.3449,4.0434
35,1756300344.2796288,1.1702,1.3242,1.1413,29.0061,7.6440,10.3176,6.8544,1.3572
36,1756300344.8990562,1.1413,29.0061,7.6440,10.3176,6.8544,1.3572,0.2394,0.2035
36,1756300351.4957674,4.1901,4.1667,5.2117,28.2749,2.4387,9.6076,8.2633,6.4527
37,1756300358.7083354,5.9275,5.2379,3.5494,24.0050,5.6303,7.4734,1.2911,0.4072
38,1756300384.4968398,2.9357,3.6167,4.0118,24.8820,6.0520,4.2309,7.3370,4.4762
39,1756300400.352491,1.1293,0.5728,3.3293,23.4931,4.7289,11.2687,8.0233,3.6445
40,1756300400.8725076,3.3293,23.4931,4.7289,11.2687,8.0233,3.6445,1.0228,0.6680
40,1756300411.2269304,3.2549,1.6300,1.4342,21.6570,8.5475,10.2345,4.8179,1.1691
41,1756300411.74123,1.4342,21.6570,8.5475,10.2345,4.8179,1.1691,0.7039,0.3735
41,1756300432.5477684,1.3545,1.2268,5.2006,26.3929,4.8070,5.5412,10.7055,7.6534
42,1756300433.4710858,26.3929,4.8070,5.5412,10.7055,7.6534,4.0048,1.6236,0.4193
42,1756300441.2866976,3.8949,2.8463,2.2890,16.6499,4.0589,0.1581,0.0849,0.0424
43,1756300476.467627,2.4025,8.1516,9.2871,13.8137,8.8963,3.0935,2.3743,1.4645
44,1756300479.370011,0.4343,0.7566,0.6886,16.4615,5.3686,4.3430,2.2657,1.0340
44,1756300485.2991111,1.6192,1.1745,2.3558,26.6552,7.9895,12.3152,15.3826,1.5903
45,1756300486.8563437,26.6552,7.9895,12.3152,15.3826,1.5903,1.1625,0.5139,0.1212
45,1756300492.296597,5.8381,3.9490,13.9035,30.9809,5.0555,0.5820,2.9900,9.2107
46,1756300510.1298046,1.0819,0.6917,4.4198,12.3653,6.0954,8.4602,3.5955,3.0614
47,1756300512.0801096,8.4602,3.5955,3.0614,17.0378,14.0374,3.0737,10.0094,5.1594
47,1756300512.596473,17.0378,14.0374,3.0737,10.0094,5.1594,3.1732,1.4719,0.5103
47,1756300520.5439281,6.2406,9.8715,8.1662,22.8535,6.2810,5.9922,3.4848,1.9915
48,1756300527.1674256,0.0616,0.7570,5.3024,14.3495,3.7694,4.4711,15.9871,21.2329
49,1756300528.4947648,3.7694,4.4711,15.9871,21.2329,5.1464,12.3820,9.9717,6.3477
49,1756300529.1076772,15.9871,21.2329,5.1464,12.3820,9.9717,6.3477,3.5910,3.7592
